id	published	title	summary
1ec7ffd129375f94e767601a035eafe8	2024-04-19 02:12:34	Bitcoin hodlers moved $1.7B into ‘accumulation’ wallets during the BTC dip	['Long-term Bitcoin holders moved a record $1.7 billion worth of BTC to long-term holding addresses in a single 24-hour period when the price of Bitcoin fell below $63,000 on April 16.']
8ce976855f1bba944c283f1577539a5e	2024-04-19 00:35:06	Bitcoin fees top Ethereum for 3 days in a row as halving approaches	['Bitcoin miners have raked in more fees than Ethereum stakers in the last three days as the industry awaits for the fourth halving event and the introduction of a new token standard on Bitcoin.']
f9b3fb5fe32bb5af15ad6f10f1dfa895	2024-04-18 21:29:00	The Runes protocol will ignite a new season for Bitcoin after the halving	"[""The Runes protocol will launch when Bitcoin's halving takes place, and a wave of new tokens will ignite a new season for the world's largest blockchain.""]"
f35b32aeeeca4f0a05b8e966728ee558	2024-04-18 19:45:00	Meta launches ‘most capable openly available LLM to date,’ rivaling GPT and Claude	['Meta launches Llama-3 and a new Meta AI portal, claiming its new model is the most capable open-source market to date.']
5a21ddf46fc5bc951e8117fdcc7e7423	2024-04-18 17:27:50	Mango Markets exploiter found guilty after jury deliberations	['After less than a day of deliberations, a Manhattan jury found Avraham Eisenberg guilty of fraud and market manipulation.']
9668694b39120aded8cfec4fa7f5b4ef	2024-04-18 16:55:54	BTC price bounces at support that fueled 2023 bull market	['Bitcoin sees support from a familiar trendline during the latest BTC price relief bounce.']
44d730caa5bf336bd02a3cb457075452	2024-04-18 13:00:00	Welcome to the future where on-chain robots serve coffee and crypto rewards	['Forget baristas, the future of coffee is automated and powered by blockchain. A robotic cafe lets users earn crypto for every cup purchased, ushering in a new era of Web3 machine ownership via DePINS.']
d66541c54344af668524997d3b04db3d	2024-04-18 12:37:29	Have altcoins hit the bottom? Bitcoin price bounces 5% from $59.7K low	"['Bitcoin may stay ""boring"" while altcoins recover after the halving, analysis claims as crypto traders flip modestly optimistic.']"
747d3fa608d2b6a4b0d2a25271f45040	2024-04-18 09:31:58	Tokenized asset market could hit $16T on public blockchains — RippleX VP	['Institutional investors, asset managers and banks are racing to bring financial assets on-chain in a market that is estimated to grow to $16 trillion in value.']
f658031e851847c83078d259d7863a37	2024-04-18 02:40:54	Gary Gensler’s resignation ‘troll’ post disappoints Crypto X	['SEC Chair Gary Gensler isn’t quitting the SEC, but his X posts initially tricked many into believing he was.']
